TRADE_CODE,ISIN,EMITENT_FULL_NAME,ISSUE_AMOUNT,LIST_SECTION,INSTRUMENT_TYPE,INSTRUMENT_CATEGORY
CBOM,RU000A0JUG31,"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)",33429709866,Первый уровень,Акция обыкновенная,акции обыкновенные
CIAN,US83418T1088,Cian PLC (эмитент депозитарных расписок - The Bank of New York Mellon),,Первый уровень,Депозитарные расписки иностранного эмитента на акции,"Американские депозитарные акции, представляющие обыкновенные акции Cian PLC"
ETLN,US29760G1031,ETALON GROUP PLC (эмитент депозитарных расписок - RCS Issuer Services S.ar.l.),,Первый уровень,Депозитарные расписки иностранного эмитента на акции,"Глобальные депозитарные расписки, удостоверяющие права на обыкновенные акции ETALON GROUP PLC"
FIXP,US33835G2057,FIX PRICE GROUP PLC (эмитент депозитарных расписок - The Bank of New York Mellon),,Первый уровень,Депозитарные расписки иностранного эмитента на акции,"Глобальные депозитарные расписки, представляющие обыкновенные акции FIX PRICE GROUP PLC"
GLTR,US37949E2046,Globaltrans Investment PLC (эмитент депозитарных расписок - Citibank N.A.),,Первый уровень,Депозитарные расписки иностранного эмитента на акции,"Глобальные депозитарные расписки, представляющие обыкновенные акции Globaltrans Investment PLC"
HHRU,US42207L1061,"HeadHunter Group PLC (эмитент депозитарных расписок - JPMorgan Chase Bank, N.A.)",,Первый уровень,Депозитарные расписки иностранного эмитента на акции,"Американские депозитарные акции, удостоверяющие права на обыкновенные акции HeadHunter Group PLC"
MDMG,US55279C2008,MD MEDICAL GROUP INVESTMENTS PLC (эмитент депозитарных расписок - RCS Issuer Services S.ar.l.),,Первый уровень,Депозитарные расписки иностранного эмитента на акции,"Глобальные депозитарные расписки, представляющие обыкновенные акции MD MEDICAL GROUP INVESTMENTS PLC"
OKEY,US6708662019,O'KEY Group S.A. (эмитент депозитарных расписок - The Bank of New York Mellon),,Первый уровень,Депозитарные расписки иностранного эмитента на акции,"Глобальные депозитарные расписки, представляющие обыкновенные акции O'KEY Group S.A."
OZON,US69269L1044,Ozon Holdings PLC (эмитент депозитарных расписок - The Bank of New York Mellon),,Первый уровень,Депозитарные расписки иностранного эмитента на акции,"Американские депозитарные акции, удостоверяющие права на обыкновенные акции Ozon Holdings PLC"
AGRO,US7496552057,ROS AGRO PLC (эмитент депозитарных расписок - The Bank of New York Mellon),,Первый уровень,Депозитарные расписки иностранного эмитента на акции,"Глобальные депозитарные расписки, представляющие обыкновенные акции ROS AGRO PLC"
FIVE,US98387E2054,X5 Retail Group N.V. (эмитент депозитарных расписок - The Bank of New York Mellon),,Первый уровень,Депозитарные расписки иностранного эмитента на акции,"Глобальные депозитарные расписки, представляющие обыкновенные акции X5 Retail Group N.V."
ALRS,RU0007252813,"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)",7364965630,Первый уровень,Акция обыкновенная,акции обыкновенные
VTBR,RU000A0JP5V6,Банк ВТБ (публичное акционерное общество),26849669465190,Первый уровень,Акция обыкновенная,акции обыкновенные
GEMC,RU000A107JE2,Международная Компания Публичное Акционерное Общество Юнайтед Медикал Груп,90000000,Первый уровень,Акция обыкновенная,акции обыкновенные
VKCO,RU000A106YF0,"Международная компания Публичное акционерное общество ""ВК""",227874940,Первый уровень,Акция обыкновенная,акции обыкновенные
LENT,RU000A102S15,"Международная компания публичное акционерное общество ""Лента""",115985197,Первый уровень,Акция обыкновенная,акции обыкновенные
RUAL,RU000A1025V3,"Международная компания публичное акционерное общество ""Объединённая Компания ""РУСАЛ""""",15193014862,Первый уровень,Акция обыкновенная,акции обыкновенные
TCSG,RU000A107UL4,"Международная компания публичное акционерное общество ""ТКС Холдинг""",199305492,Первый уровень,Акция обыкновенная,акции обыкновенные
ENPG,RU000A100K72,"Международная компания публичное акционерное общество ""ЭН+ ГРУП""",638848896,Первый уровень,Акция обыкновенная,акции обыкновенные
BSPB,RU0009100945,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ""",461879831,Первый уровень,Акция обыкновенная,акции обыкновенные
AQUA,RU000A0JQTS3,"Публичное  акционерное общество ""ИНАРКТИКА""",87876649,Первый уровень,Акция обыкновенная,акции обыкновенные
AFKS,RU000A0DQZE3,"Публичное акционерное общество ""Акционерная финансовая корпорация ""Система""",9650000000,Первый уровень,Акция обыкновенная,акции обыкновенные
AFLT,RU0009062285,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",3975771215,Первый уровень,Акция обыкновенная,акции обыкновенные
GAZP,RU0007661625,"Публичное акционерное общество ""Газпром""",23673512900,Первый уровень,Акция обыкновенная,акции обыкновенные
GMKN,RU0007288411,"Публичное акционерное общество ""Горно-металлургическая компания ""Норильский никель""",15286339700,Первый уровень,Акция обыкновенная,акции обыкновенные
LSRG,RU000A0JPFP0,"Публичное акционерное общество ""Группа ЛСР""",103030215,Первый уровень,Акция обыкновенная,акции обыкновенные
POSI,RU000A103X66,"Публичное акционерное общество ""Группа Позитив""",66000000,Первый уровень,Акция обыкновенная,акции обыкновенные
RENI,RU000A0ZZM04,"Публичное акционерное общество ""Группа Ренессанс Страхование""",556952780,Первый уровень,Акция обыкновенная,акции обыкновенные
EUTR,RU000A1002V2,"Публичное акционерное общество ""ЕвроТранс""",159148665,Первый уровень,Акция обыкновенная,акции обыкновенные
IRAO,RU000A0JPNM1,"Публичное акционерное общество ""Интер РАО ЕЭС""",104400000000,Первый уровень,Акция обыкновенная,акции обыкновенные
LEAS,RU000A0ZZFS9,"Публичное акционерное общество ""Лизинговая компания ""Европлан""",120000000,Первый уровень,Акция обыкновенная,акции обыкновенные
MVID,RU000A0JPGA0,"Публичное акционерное общество ""М.видео""",179768227,Первый уровень,Акция обыкновенная,акции обыкновенные
MAGN,RU0009084396,"Публичное акционерное общество ""Магнитогорский металлургический комбинат""",11174330000,Первый уровень,Акция обыкновенная,акции обыкновенные
MTLR,RU000A0DKXV5,"Публичное акционерное общество ""Мечел""",416270745,Первый уровень,Акция обыкновенная,акции обыкновенные
MTLRP,RU000A0JPV70,"Публичное акционерное общество ""Мечел""",138756915,Первый уровень,Акция привилегированная,акции привилегированные
MTSS,RU0007775219,"Публичное акционерное общество ""Мобильные ТелеСистемы""",1998381575,Первый уровень,Акция обыкновенная,акции обыкновенные
MOEX,RU000A0JR4A1,"Публичное акционерное общество ""Московская Биржа ММВБ-РТС""",2276401458,Первый уровень,Акция обыкновенная,акции обыкновенные
LKOH,RU0009024277,"Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ""",692865762,Первый уровень,Акция обыкновенная,акции обыкновенные
BELU,RU000A0HL5M1,"Публичное акционерное общество ""НоваБев Групп""",15800000,Первый уровень,Акция обыкновенная,акции обыкновенные
NLMK,RU0009046452,"Публичное акционерное общество ""Новолипецкий металлургический комбинат""",5993227240,Первый уровень,Акция обыкновенная,акции обыкновенные
